,INCI,SMILES
133,Iron Oxides (CI 77499),
134,Swiftlet Nest Extract,
135,Sucrose Dilaurate,"CCCCCCCCCCCC(=O)OC1C(C(C(OC1(C2(C(C(C(O2)CO)O)O)CO)OC(=O)CCCCCCCCCCC)CO)O)O
CCCCCCCCCCCC(=O)OC1C(C(C(OC1(C2(C(C(C(O2)CO)O)O)CO)OC(=O)CCCCCCCCCCC)CO)O)O"
136,Argania Spinosa Kernel Oil,
137,Alpinia Officinarum Root Extract,
138,Bifurcaria Bifurcata Extract,
139,Persea Gratissima (Avocado) Fruit Extract,
140,Bacillus/Rice Bran Extract/Soybean Extract Ferment Filtrate,
141,Chamomilla Recutita (Matricaria) Flower Extract,
142,Amodimethicone,
143,Diisooctyl Adipate,CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C
144,Cucurbita Pepo (Pumpkin) Fruit Extract,
145,Aronia Melanocarpa Fruit Extract,
146,Aspartic Acid,C(C(C(=O)O)N)C(=O)O
147,Artemia Extract,
148,Daucus Carota Sativa (Carrot) Root Extract,
149,Alpinia Speciosa Leaf Extract,
150,Lauryl Glucoside,"CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O
CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O
CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O"
151,Heterotheca Inuloides Flower Extract,
152,Hydrolyzed Corn Protein,
153,Sodium Chloride,[Na+].[Cl-]
154,Ruscus Aculeatus Root Extract,
155,Ammonium Hydroxide,[NH4+].[OH-]
156,Glyceryl Glucoside,
157,Acetyl Tetrapeptide-5,CC(=O)NCCC(=O)NC(CC1=CN=CN1)C(=O)NC(CO)C(=O)NC(CC2=CN=CN2)C(=O)O
158,Lactobacillus/Punica Granatum Fruit Ferment Extract,
159,Caprylic/Capric Triglyceride,
160,Blue 1 Lake,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[Al+3].[Al+3]
161,Ethylhexylglycerin,CCCCC(CC)COCC(CO)O
162,Malic Acid,C(C(C(=O)O)O)C(=O)O
163,Hydrogenated Pumpkin Seed Oil,
164,C12-15 Alkyl Ethylhexanoate,
165,Passiflora Incarnata Fruit Extract,
166,Ximenia Americana Seed Oil,
167,Citrus Paradisi (Grapefruit) Fruit Extract,
168,Polyglyceryl-10 Laurate,
169,Acrylates/Beheneth-25 Methacrylate Copolymer,
170,Citrus Aurantium Dulcis (Orange) Peel Wax,
171,Albumen,
172,Alpha-Arbutin,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
173,Cholesteryl Succinate,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)CCC(=O)O)C)C
174,Propanediol,CCC(O)O
175,Tridecyl Trimellitate,CCCCCCCCCCOC(=O)C1=CC(=C(C=C1)C(=O)OCCCCCCCCCC)C(=O)OCCCCCCCCCC
176,Dimethicone Propyl PG-Betaine,
